TIMETABLE I SEM 2025 -26,,,,,,,,,,,,
COMP CODE,COURSE NO.,COURSE TITLE,L,P,U,SEC,INSTRUCTOR_IN_CHARGE/INSTR UCTOR,ROOM,DAYS,HOUR S,MIDSEM,ENDSEM
2420,AN F311,PRINCIPLES OF AERODYNAMICS,3,0,3,L1,"PARDHA SARADHI GURUGUBELLI
VENKATA",F201,M W F,1,04/10 - 3.30 - 5.00PM,16/12 FN
2422,AN F313,"FLIGHT MECHANICS AND
CONTROLS",3,0,3,L1,JAYAPRAKASH K S,G205,M W F,4,08/10 - 9.30 - 11.00AM,05/12 FN
2863,BIO F101,"INTRODUCTION TO BIOLOGICAL
SCIENCES",2,1,3,L1,Gireesha Thipperudrappa Mohannath,F102,W F,9,07/10 - 1.30 - 3.00PM,04/12 FN
,,,,,,,Supratim Ghosh,,,,,
,,,,,,L2,Bibhas Roy,F103,M W,9,07/10 - 1.30 - 3.00PM,04/12 FN
,,,,,,,Piyush Khandelia,,,,,
,,,,,,T1,SRIDEV MOHAPATRA,G208,T,1,,
,,,,,,,Ankita Paul,,,,,
,,,,,,,Brahmandam N S A L Gayatri,,,,,
,,,,,,,Devarakonda Yogeshwar,,,,,
,,,,,,,Manali Chindarkar,,,,,
,,,,,,,Priyanka Roy,,,,,
,,,,,,,Sian Maria Dorothy D'silva,,,,,
,,,,,,T2,Sourav Chowdhury,G207,T,1,,
,,,,,,T3,Jayati Ray Dutta,G107,T,1,,
,,,,,,T4,Gireesha Thipperudrappa Mohannath,G204,T,1,,
,,,,,,T5,Naga Mohan Kommu,G203,T,1,,
,,,,,,T6,Vivek Sharma,G202,T,1,,
,,,,,,T7,Jamma Trinath,G105,T,1,,
,,,,,,T8,Piyush Khandelia,G206,T,1,,
,,,,,,T9,Pragya Komal,G205,T,1,,
,,,,,,T10,Bibhas Roy,F106,T,1,,
,,,,,,T11,Supritim Ghoshe,F208,T,1,,
,,,,,,P1,Sridev Mohapatra,A122,M,78,,
